Gene Symbol,Gene ID,Ensembl Gene ID
TSPAN9,10867,ENSG00000011105
RFT1,91869,ENSG00000163933
C2orf43,,-
POU2F2,5452,ENSG00000028277
2016-09-10 00:00:00,,-
TARM1,441864,ENSG00000248385//ENSG00000273875//ENSG00000275806//ENSG00000277178//ENSG00000276145//ENSG00000274889//ENSG00000275123//ENSG00000276355//ENSG00000275384//ENSG00000276604
TCF7,6932,ENSG00000081059
EML3,256364,ENSG00000149499
RIC8B,55188,ENSG00000111785
PPIP5K1,9677,ENSG00000168781
FBXO44,93611,ENSG00000132879
GPM6B,2824,ENSG00000046653
ACER3,55331,ENSG00000078124
ACBD5,91452,ENSG00000107897
UBE2E1,7324,ENSG00000170142
TPCN1,53373,ENSG00000186815
CCBL1,883,ENSG00000286112//ENSG00000171097
CPA4,51200,ENSG00000128510
SLC9B2,133308,ENSG00000164038
DDX27,55661,ENSG00000124228
ARHGAP25,9938,ENSG00000163219
GTF3A,2971,ENSG00000122034
ALAD,210,ENSG00000148218
STX16,8675,ENSG00000124222
SH3GLB2,56904,ENSG00000148341
ITIH4,3700,ENSG00000055955
SCARB1,949,ENSG00000073060
FNBP1,23048,ENSG00000187239
COX18,285521,ENSG00000163626
CPEB4,80315,ENSG00000113742
SRGAP2,23380,ENSG00000266028
MTHFD1L,25902,ENSG00000120254
CD160,11126,ENSG00000117281
CNRIP1,25927,ENSG00000119865
TAX1BP1,8887,ENSG00000106052
SUMO1,7341,ENSG00000116030
PTMA,5757,ENSG00000187514
BET1L,51272,ENSG00000177951
NAB1,4664,ENSG00000138386
ATF2,1386,ENSG00000115966
COQ10B,80219,ENSG00000115520
IL1R1,3554,ENSG00000115594
AP1S3,130340,ENSG00000152056
COA5,493753,ENSG00000183513
DNPEP,23549,ENSG00000123992
RASGRP4,115727,ENSG00000171777
TIGIT,201633,ENSG00000181847
ZC3HC1,51530,ENSG00000091732
CCDC126,90693,ENSG00000169193
PFN2,5217,ENSG00000070087
SRI,6717,ENSG00000075142
NCF1,653361,ENSG00000158517
TNK2,10188,ENSG00000061938
TUBA8,51807,ENSG00000183785
ORAI2,80228,ENSG00000160991
IKBKG,8517,ENSG00000269335
POLR2B,5431,ENSG00000047315
CROT,54677,ENSG00000005469
C5orf58,133874,ENSG00000234511
B4GALT4,8702,ENSG00000121578
IMMT,10989,ENSG00000132305
MPV17,4358,ENSG00000115204
MKRN2,23609,ENSG00000075975
CXCL8,3576,ENSG00000169429
ARHGEF3,50650,ENSG00000163947
LIN9,286826,ENSG00000183814
IGF1R,3480,ENSG00000140443
SCG5,6447,ENSG00000281931//ENSG00000277614//ENSG00000166922
EIF4G1,1981,ENSG00000114867
ZC3HAV1,56829,ENSG00000105939
RPA3OS,,-
PLSCR1,5359,ENSG00000188313
HDAC10,83933,ENSG00000100429
RBMS3,27303,ENSG00000144642
LSP1,4046,ENSG00000288199//ENSG00000130592
NMD3,51068,ENSG00000169251
