"genes","naiveB_S1R1","naiveB_S1R2","naiveB_S1R3","naiveB_S1R4","naiveB_S2R1","naiveB_S2R2","naiveB_S2R3","naiveB_S2R4","naiveB_S3R1","naiveB_S3R2","naiveB_S3R3"
"ENSG00000011028","0","0","0","0","11","19","4","50","0","0","0"
"ENSG00000011052","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000011083","0","0","2","1","0","0","0","0","0","0","0"
"ENSG00000011105","0","0","0","21","0","6","0","0","0","1","0"
"ENSG00000011114","156","195","256","248","432","407","330","326","554","1112","277"
"ENSG00000011132","1","252","1","64","545","368","355","367","104","100","9"
"ENSG00000011143","0","1","357","49","114","206","83","32","81","88","6"
"ENSG00000011198","1","11","6","174","78","55","152","202","72","159","49"
"ENSG00000011201","1","0","0","8","0","0","0","0","0","0","1"
"ENSG00000011243","8","448","4","83","431","266","198","213","168","412","65"
"ENSG00000011258","131","739","52","150","636","487","220","205","765","1422","557"
"ENSG00000011260","260","1237","1917","772","742","510","592","569","433","630","174"
"ENSG00000011275","1272","987","5527","189","2003","2225","1354","1721","1089","1689","349"
"ENSG00000011295","720","1438","3087","647","2030","2346","1253","620","944","909","482"
"ENSG00000011304","1387","1281","51","45","2570","2942","2094","1965","1176","1749","639"
"ENSG00000011332","0","7","2","27","47","9","15","14","4","12","8"
"ENSG00000011347","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000011376","3","454","8","50","336","448","278","308","339","377","94"
"ENSG00000011405","238","639","186","291","708","887","560","822","1253","1639","576"
"ENSG00000011422","549","36","1297","1","91","137","283","1016","10","4","8"
"ENSG00000011426","1","107","0","2","0","0","1","59","0","4","0"
"ENSG00000011451","5","74","903","20","18","41","20","32","163","255","77"
"ENSG00000011454","1044","236","1280","877","485","593","301","218","1490","1731","759"
"ENSG00000011465","0","0","64","36","0","0","0","0","1","2","1"
"ENSG00000011478","0","2","1","51","66","48","57","75","34","22","15"
"ENSG00000011485","739","61","0","4","456","418","356","500","207","408","60"
"ENSG00000011523","607","1312","412","60","1189","1153","600","496","592","1585","537"
"ENSG00000011566","0","157","108","109","94","103","31","32","328","234","113"
"ENSG00000011590","2","106","0","0","145","8","51","109","49","23","23"
"ENSG00000011600","677","509","951","2","74","121","262","259","20","7","10"
"ENSG00000011638","818","230","4012","512","348","239","191","171","25","28","9"
"ENSG00000011677","0","0","88","27","0","0","0","0","0","4","0"
"ENSG00000012048","0","2","0","9","57","182","113","111","72","107","38"
"ENSG00000012061","1231","484","139","203","377","521","472","499","267","243","48"
"ENSG00000012124","9181","6871","8517","600","12933","15416","9630","10838","6660","15309","2572"
"ENSG00000012171","301","0","2","1","0","0","0","0","3","0","0"
"ENSG00000012174","148","84","78","70","296","329","203","160","158","227","142"
"ENSG00000012211","0","40","0","5","121","109","145","190","19","49","8"
"ENSG00000012223","0","1","81","43","19","132","2","2456","0","0","0"
"ENSG00000012232","1","38","92","40","279","298","242","311","118","178","42"
"ENSG00000012504","0","0","0","2","0","0","0","0","0","1","0"
"ENSG00000012660","1250","2613","815","455","4663","5468","3337","4420","2869","3340","1425"
"ENSG00000012779","4015","1975","4422","244","4024","4977","3792","2633","765","2016","426"
"ENSG00000012817","0","1285","0","0","0","4407","0","4179","2","1","449"
"ENSG00000012822","689","2025","867","83","2407","2735","2017","2771","854","1746","376"
"ENSG00000012963","414","342","0","22","616","652","639","654","245","474","111"
